plant_id,old_audubon_crossproduct_rows,new_audubon_profile_rows,old_split_bird_labels,collapsed_bird_family_groups,old_cross_multiplied_resources_not_used_for_direct_claims,fix_note
PLT0007,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0009,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0013,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0024,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0026,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0028,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0032,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0045,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0046,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0085,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0095,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0099,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0103,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0109,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0111,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0132,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0139,40,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0140,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0155,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0176,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0182,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0184,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0193,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0195,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0203,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0208,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0211,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0213,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
PLT0214,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
