plant_scientific_name,plant_common_name,plant_type,evidence_source,source_url_or_citation,audubon_attributes_original,audubon_attributes_normalized,bird_common_name,bird_group_original,bird_scientific_name,rank,interaction_class,interaction_type,direct_species_interaction,direct_food_interaction,score_use,evidence_level,evidence_notes
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Waxwings,Waxwings,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Wood Warblers,Wood Warblers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Woodpeckers,Woodpeckers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Wrens,Wrens,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings","Cardinals, Grosbeaks and Buntings",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Chickadees and Titmice,Chickadees and Titmice,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Crows, Magpies, Jays","Crows, Magpies, Jays",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Mockingbirds and Thrashers,Mockingbirds and Thrashers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Nuthatches,Nuthatches,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Blackbirds and Orioles,Blackbirds and Orioles,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,New World Sparrows,New World Sparrows,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Thrushes,Thrushes,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Vireos,Vireos,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Waxwings,Waxwings,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Wood Warblers,Wood Warblers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Woodpeckers,Woodpeckers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Wrens,Wrens,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings","Cardinals, Grosbeaks and Buntings",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Chickadees and Titmice,Chickadees and Titmice,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Crows, Magpies, Jays","Crows, Magpies, Jays",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Finches,Finches,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Mockingbirds and Thrashers,Mockingbirds and Thrashers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuthatches,Nuthatches,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Blackbirds and Orioles,Blackbirds and Orioles,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,New World Sparrows,New World Sparrows,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Thrushes,Thrushes,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Vireos,Vireos,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Waxwings,Waxwings,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Wood Warblers,Wood Warblers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Woodpeckers,Woodpeckers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Wrens,Wrens,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings","Cardinals, Grosbeaks and Buntings",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Chickadees and Titmice,Chickadees and Titmice,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Crows, Magpies, Jays","Crows, Magpies, Jays",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Mockingbirds and Thrashers,Mockingbirds and Thrashers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Nuthatches,Nuthatches,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Blackbirds and Orioles,Blackbirds and Orioles,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,New World Sparrows,New World Sparrows,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Thrushes,Thrushes,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Vireos,Vireos,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Waxwings,Waxwings,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Wood Warblers,Wood Warblers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Woodpeckers,Woodpeckers,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Wrens,Wrens,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Phytolacca americana,American Pokeweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666,Fruit; Nuts,fruit; nuts,"Cardinals, Grosbeaks and Buntings","Cardinals, Grosbeaks and Buntings",,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
Phytolacca americana,American Pokeweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666,Fruit; Nuts,fruit; nuts,Chickadees and Titmice,Chickadees and Titmice,,audubon_broad_family_group,habitat/resource support,Audubon broad bird-family support,False,False,trusted broad profile support,D - trusted Audubon broad plant profile; not species-level direct interaction,Audubon states this plant is thought to attract this broad family/group of birds. Attributes are plant-level resources and are not assigned to individual bird groups.
